Wallet Address,ROI,Trading Frequency,Activity Level,Portfolio Volatility,Sharpe Ratio,Loss Ratio,balance,Rank Score,Final Rank
3qz461CQZr2iMvfJ3LpGbzVoiJ6LKCz3E8CmQJNg7q9y,1.0,1.0,0.9879138153324645,0.7237000792686699,0.6654484146565779,0.32,0.000995003,0.7263024380709415,1
DKhMycBEk2qQVjSWM7B5Gafj1g2kaFcDAzdbBNNbdKE1,0.9018048217547028,1.0,0.9886474873576656,0.6299267804244144,0.66378594321987,0.34,0.001000846,0.7040354545994765,2
H3dErwuSFvJk6xZ3NNLh1ev7Z5V3EJEzTzmVU1yUisgt,0.8236985843638922,1.0,0.999218635491728,0.6018664906568768,0.6716667096984252,0.38,0.000890881,0.6830999952815106,3
Ewk2S9FSFUHHqrAjPXCkFid2BBspUHMpA5ziE9QYTGsZ,0.7828218488244965,1.0,0.9924767599782913,0.6988188453467822,0.671263347301781,0.38,0.001298591,0.6597126915686852,4
FGB7fRuB3heo95Y8XYDDivJfcanrg3a2SZ5tvaoknyqa,0.7925608507863451,0.98,0.9687297925044528,0.6474799498968467,0.6689438210374136,0.3877551020408163,0.000995001,0.6577794727505105,5
BmnJnRYpDa4xZ7MBLWgTUzCdXaHCckJmBUhpFBC4svkJ,0.7277837311491342,1.0,0.9893803490212947,0.6320618679422966,0.668180299420256,0.38,0.00089088,0.6486410622388208,6
EXnEPNQYdhEhAK71ACwpFakpQA7k1qzsJAXNir2RXzjh,0.7316925422284175,1.0,0.9994451544551124,0.630670912086215,0.6679654753428899,0.42,0.000995002,0.6479227974195042,7
AkZPUKGPKV1nZiTfTaFYnn4NMPUpGkiCaGwVTnqn92pg,0.7261607198968075,1.0,0.98834501302968,0.6447309507945446,0.6647243370132054,0.38,0.000995,0.6459889908981649,8
3Quk2Bzk1duejMHLv6iYQY5qAFqs2XDUXEgWbbvViNeo,0.724999842732744,1.0,0.9877866193134487,0.6742572252102875,0.6676264331701652,0.36,0.000995003,0.6451568407955173,9
D9hfcu5YN6NwhivwtNPcX2tDLVmymh2yhvWEu2hf4Es3,0.7016798923468923,1.0,0.9884267659872817,0.6232799588918777,0.660170837092437,0.42,0.001000846,0.6358954924308237,10
4opEV2i8eE5tRAsYW3sk6QLpnouojuv2tcQrvnmKPccA,0.6732142862378414,1.0,0.9884183198158983,0.601564716171814,0.6611672899860848,0.36,0.001000846,0.6357249362145677,11
9ZLEAmDc1VLtPTmn1jnc6jQSxCLb2mBTNywtf8nAW6es,0.7198644654983345,1.0,0.9882317752597041,0.6978515554758413,0.6671532921126971,0.42,0.000995,0.6352511975763965,12
szJnG6WuErNg64t4RtNv8VsXURkg8cjjcq4egcVHsSY,0.6641242643638035,1.0,0.996280333205922,0.6061690277000059,0.6761376318100263,0.38,0.001556785,0.6351039695423302,13
9rkqPRB7pKXLJTebkANCJF8haMVS42wNMQnS3WDnxsjj,0.699142519854445,1.0,0.9885192791710674,0.6311145915678934,0.672561433829023,0.48,0.001000846,0.6308474393995622,14
FnjmKARGQ3sorfLNzx8AKjLhQiM1U7WGotHxGwdqRe3H,0.6428182700101881,1.0,0.9992851942012277,0.5619836439637529,0.6713005724681285,0.46,0.000995002,0.6247642699405525,15
DKhMycBEk2qQVjSWM7B5Gafj1g2kaFcDAzdbBNNbdKE1,0.6630669620019746,1.0,0.9886474873576656,0.596422832759779,0.6668188895395465,0.46,0.001000846,0.6243710807040569,16
